"","date","song","artist","image_url","last_week","weeks_on_chart","weeks_at_1"
"1037","2019-11-09","Lose You To Love Me","Selena Gomez","https://charts-static.billboard.com/img/2019/11/selena-gomez-lkr-loseyoutoloveme-ygt-180x180.jpg","15","2","1"
"1038","2019-11-16","Someone You Loved","Lewis Capaldi","https://charts-static.billboard.com/img/2019/03/lewis-capaldi-j7n-someoneyouloved-em0-180x180.jpg","2","26","2"
"1039","2019-11-23","Someone You Loved","Lewis Capaldi","https://charts-static.billboard.com/img/2019/03/lewis-capaldi-j7n-someoneyouloved-em0-180x180.jpg","1","27","3"
"1040","2019-11-30","Circles","Post Malone","https://charts-static.billboard.com/img/2019/09/post-malone-uhe-circles-sb0-180x180.jpg","2","12","1"
"1041","2019-12-07","Circles","Post Malone","https://charts-static.billboard.com/img/2019/09/post-malone-uhe-circles-sb0-180x180.jpg","1","13","2"
"1042","2019-12-14","Heartless","The Weeknd","https://charts-static.billboard.com/img/2019/12/the-weeknd-jlk-heartless-6te-180x180.jpg","32","2","1"
"1043","2019-12-21","All I Want For Christmas Is You","Mariah Carey","https://charts-static.billboard.com/img/1994/12/mariah-carey-x65-alliwantforchristmasisyou-7ve-180x180.jpg","3","35","1"
"1044","2019-12-28","All I Want For Christmas Is You","Mariah Carey","https://charts-static.billboard.com/img/1994/12/mariah-carey-x65-alliwantforchristmasisyou-7ve-180x180.jpg","1","36","2"
"1045","2020-01-04","All I Want For Christmas Is You","Mariah Carey","https://charts-static.billboard.com/img/1994/12/mariah-carey-x65-alliwantforchristmasisyou-7ve-180x180.jpg","1","37","3"
"1046","2020-01-11","Circles","Post Malone","https://charts-static.billboard.com/img/2019/09/post-malone-uhe-circles-sb0-180x180.jpg","5","18","3"
"1047","2020-01-18","The Box","Roddy Ricch","https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg","3","5","1"
"1048","2020-01-25","The Box","Roddy Ricch","https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg","1","6","2"
"1049","2020-02-01","The Box","Roddy Ricch","https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg","1","7","3"
"1050","2020-02-08","The Box","Roddy Ricch","https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg","1","8","4"
"1051","2020-02-15","The Box","Roddy Ricch","https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg","1","9","5"
"1052","2020-02-22","The Box","Roddy Ricch","https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg","1","10","6"
