"","date","song","artist","image_url","last_week","weeks_on_chart","weeks_at_1"
"1166","2022-04-30","As It Was","Harry Styles","https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-po3-180x180.jpg","2","3","2"
"1167","2022-05-07","As It Was","Harry Styles","https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-po3-180x180.jpg","1","4","3"
"1168","2022-05-14","Wait For U","Future Featuring Drake & Tems","https://charts-static.billboard.com/img/1988/03/future-a0z-180x180.jpg","-","1",NA
"1169","2022-05-21","First Class","Jack Harlow","https://charts-static.billboard.com/img/2018/01/jack-harlow-i43-180x180.jpg","3","5","2"
"1170","2022-05-28","First Class","Jack Harlow","https://charts-static.billboard.com/img/2018/01/jack-harlow-i43-180x180.jpg","1","6","3"
"1171","2022-06-04","As It Was","Harry Styles","https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-po3-180x180.jpg","2","8","4"
"1172","2022-06-11","As It Was","Harry Styles","https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-po3-180x180.jpg","1","9","5"
"1173","2022-06-18","As It Was","Harry Styles","https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-po3-180x180.jpg","1","10","6"
"1174","2022-06-25","As It Was","Harry Styles","https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-po3-180x180.jpg","1","11","7"
"1175","2022-07-02","Jimmy Cooks","Drake Featuring 21 Savage","https://charts-static.billboard.com/img/2009/04/drake-8dm-180x180.jpg","-","1",NA
"1176","2022-07-09","As It Was","Harry Styles","https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-po3-180x180.jpg","2","13","8"
"1177","2022-07-16","As It Was","Harry Styles","https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-po3-180x180.jpg","1","14","9"
"1178","2022-07-23","As It Was","Harry Styles","https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-po3-180x180.jpg","1","15","10"
"1179","2022-07-30","About Damn Time","Lizzo","https://charts-static.billboard.com/img/2022/04/lizzo-o9x-aboutdamntime-f6q-180x180.jpg","2","14","1"
"1180","2022-08-06","About Damn Time","Lizzo","https://charts-static.billboard.com/img/2022/04/lizzo-o9x-aboutdamntime-f6q-180x180.jpg","1","15","2"
"1181","2022-08-13","Break My Soul","Beyonce","https://charts-static.billboard.com/img/2022/07/beyonce-n2a-breakmysoul-kqf-180x180.jpg","6","7","1"
"1182","2022-08-20","Break My Soul","Beyonce","https://charts-static.billboard.com/img/2022/07/beyonce-n2a-breakmysoul-kqf-180x180.jpg","1","8","2"
